Entity,Code,Year,Annual CO₂ emissions,Primary energy consumption per GDP (kWh/$),GDP per capita,900793-annotations,Population (historical),Annual CO₂ emissions per unit energy (kg per kilowatt-hour),Annual CO₂ emissions per GDP (kg per international-$)
China,CHN,1965,500286370,1.7142599,1253,,723415690,0.32566607,0.5582763
China,CHN,1966,549459260,1.8001047,1261,,742402158,0.32915393,0.59251153
China,CHN,1967,460225900,1.6082098,1237,,761025974,0.30659887,0.49307534
China,CHN,1968,495506560,1.6623641,1178,,781010987,0.32670134,0.5430966
China,CHN,1969,607683300,1.8338609,1264,,802140300,0.32933444,0.60395354
China,CHN,1970,807952640,2.0644138,1398,,823308913,0.34210658,0.7062496
China,CHN,1971,909209700,2.3022833,1446,,844069819,0.32470334,0.7475591
China,CHN,1972,968645570,2.4472458,1431,,863677753,0.32086715,0.78524077
China,CHN,1973,1008292600,2.3883033,1513,,882576897,0.31638736,0.755629
China,CHN,1974,1028099840,2.4032505,1519,,900307531,0.31280023,0.75173736
China,CHN,1975,1183215000,2.5195842,1594,,916116747,0.32148725,0.81001425
China,CHN,1976,1226421200,2.7408912,1519,,930372242,0.31650996,0.86751944
China,CHN,1977,1340831100,2.8290472,1583,,943546327,0.31734505,0.8977842
China,CHN,1978,1492777900,2.7777445,1744,,956161425,0.32227275,0.8951913
China,CHN,1979,1525661200,2.6489832,1859,,969288020,0.3197227,0.8469401
China,CHN,1980,1494495900,2.5491476,1930,,983163494,0.30957752,0.78915876
China,CHN,1981,1476487800,2.4430559,1962,,997721024,0.30993587,0.7571906
China,CHN,1982,1606585000,2.3380978,2128,,1013588115,0.32281032,0.75476205
China,CHN,1983,1694216800,2.3247118,2227,,1029064904,0.31980246,0.74344856
China,CHN,1984,1844828000,2.2435453,2444,,1043849592,0.32449976,0.7280299
China,CHN,1985,1998083000,2.2343261,2619,,1059807770,0.32487193,0.7258699
China,CHN,1986,2104213400,2.1981988,2748,,1077233559,0.32653302,0.7177845
China,CHN,1987,2257738500,2.1874628,2931,,1096217389,0.3248433,0.71058255
China,CHN,1988,2425893600,2.2260227,3045,,1115244112,0.32487708,0.7231839
China,CHN,1989,2463654400,2.318088,3022,,1133990957,0.31438455,0.72877103
China,CHN,1990,2484854800,2.345041,2982,,1153582668,0.31302303,0.7340518
China,CHN,1991,2606096100,2.3760998,3051.3152,,1170788481,0.3125711,0.74270016
China,CHN,1992,2730787600,2.3365169,3227.7441,,1184574195,0.3112467,0.7272331
China,CHN,1993,2921651000,2.29211,3506.48,,1197308522,0.30891988,0.7080783
China,CHN,1994,3103739000,2.2638817,3730.164,,1209003049,0.30886623,0.69923663
China,CHN,1995,3361637000,2.1523197,3999.7292,,1220133877,0.32471249,0.6988851
China,CHN,1996,3508818200,2.1272082,4219.644,,1230944759,0.32169005,0.6843017
China,CHN,1997,3515594200,2.0753033,4310.828,,1241139564,0.3201486,0.66440535
China,CHN,1998,3364587500,2.0605316,4309.847,,1250847078,0.30585584,0.63022566
China,CHN,1999,3557274600,2.0410616,4466.7363,,1260176600,0.31242344,0.6376755
China,CHN,2000,3649226500,1.9823472,4730.3545,,1269581120,0.309249,0.61303896
China,CHN,2001,3728509700,1.970076,4995.1445,,1278725010,0.29899687,0.58904654
China,CHN,2002,4103046400,1.9928834,5343.1123,,1286866794,0.302128,0.60210586
China,CHN,2003,4841118700,2.1823118,5649.4634,,1294517277,0.30603662,0.6678673
China,CHN,2004,5217351000,2.3635867,6067.5913,,1302100264,0.28187978,0.6662473
China,CHN,2005,5882106400,2.4441836,6626.592,,1310027084,0.27973846,0.68373215
China,CHN,2006,6494330400,2.4288137,7271.0356,,1318053984,0.28177005,0.684367
China,CHN,2007,6983547400,2.4183316,7895.713,,1325813524,0.27878904,0.67420435
China,CHN,2008,7501497300,2.4094923,8190.1123,,1333820960,0.28829223,0.6946379
China,CHN,2009,7891078000,2.3468392,8734.041,,1342522666,0.2905522,0.6818793
China,CHN,2010,8620576000,2.259588,9658.419,,1351561462,0.2966923,0.6704024
China,CHN,2011,9532332000,2.288754,10221,,1360250601,0.30419225,0.69622123
China,CHN,2012,9779292000,2.2083416,10946.834,,1369520822,0.29975596,0.6619636
China,CHN,2013,9956329000,2.1256878,11731.295,,1379007984,0.29410857,0.62518305
China,CHN,2014,9990257000,2.0304708,12515.198,,1387951920,0.28766268,0.58409065
China,CHN,2015,9863457000,1.9198709,13325.432,,1396134112,0.28072232,0.5389506
China,CHN,2016,9762714000,1.8048825,14138.955,,1404052581,0.27673885,0.4994811
China,CHN,2017,10006343000,1.754032,15030.447,,1412354694,0.27302894,0.47890154
China,CHN,2018,10332993000,1.722855,15977.008,,1419008910,0.26901954,0.46348166
China,CHN,2019,10713984000,1.7006104,16879.54,,1423520298,0.2665918,0.45336878
China,CHN,2020,10905693000,1.7180423,17225.969,,1426106040,0.26282647,0.451547
China,CHN,2021,11447913000,1.6747966,18666.605,,1426437224,0.26108667,0.43726704
China,CHN,2022,11350538000,1.6508367,19238.18,,1425179509,0.25497377,0.4209201
China,CHN,2023,11902503000,,,,1422584878,0.25285733,
